symbol,date,adjusted_close_price
ETH-USD,2025-08-08,4009.85
ETH-USD,2025-08-15,4439.99
ETH-USD,2025-08-22,4831.35
ETH-USD,2025-08-29,4360.15
ETH-USD,2025-09-05,4306.99
ETH-USD,2025-09-12,4715.25
ETH-USD,2025-09-19,4470.92
ETH-USD,2025-09-26,4035.89
ETH-USD,2025-10-03,4514.87
ETH-USD,2025-10-10,3843.01
ETH-USD,2025-10-17,3832.56
ETH-USD,2025-10-24,3934.57
ETH-USD,2025-10-31,3847.08
ETH-USD,2025-11-07,3435.3
ETH-USD,2025-11-14,3103.79
ETH-USD,2025-11-21,2765.7
ETH-USD,2025-11-28,3032.3
ETH-USD,2025-12-05,3024.43
ETH-USD,2025-12-12,3084.17
ETH-USD,2025-12-19,2977.97
ETH-USD,2025-12-26,2925.75
ETH-USD,2026-01-02,3124.42
ETH-USD,2026-01-09,3083.05
ETH-USD,2026-01-16,3295.48
ETH-USD,2026-01-23,2953.26
ETH-USD,2026-01-30,2702.38
EURGBP=X,2025-08-01,0.8647
EURGBP=X,2025-08-08,0.868
EURGBP=X,2025-08-15,0.861
EURGBP=X,2025-08-22,0.8654
EURGBP=X,2025-08-29,0.8645
EURGBP=X,2025-09-05,0.867
EURGBP=X,2025-09-12,0.8643
EURGBP=X,2025-09-19,0.8697
EURGBP=X,2025-09-26,0.8745
EURGBP=X,2025-10-03,0.8719
EURGBP=X,2025-10-10,0.8693
EURGBP=X,2025-10-17,0.8701
EURGBP=X,2025-10-24,0.8717
EURGBP=X,2025-10-31,0.8794
EURGBP=X,2025-11-07,0.8788
EURGBP=X,2025-11-14,0.8842
EURGBP=X,2025-11-21,0.8815
EURGBP=X,2025-11-28,0.876
EURGBP=X,2025-12-05,0.8739
EURGBP=X,2025-12-12,0.8766
EURGBP=X,2025-12-19,0.876
EURGBP=X,2025-12-26,0.8723
EURGBP=X,2026-01-02,0.872
EURGBP=X,2026-01-09,0.8676
EURGBP=X,2026-01-16,0.8675
EURGBP=X,2026-01-23,0.8706
EURGBP=X,2026-01-30,0.8667
GOOGL,2025-08-01,188.84
GOOGL,2025-08-08,201.11
GOOGL,2025-08-15,203.58
GOOGL,2025-08-22,205.77
GOOGL,2025-08-29,212.58
GOOGL,2025-09-05,234.64
GOOGL,2025-09-12,240.64
GOOGL,2025-09-19,254.55
GOOGL,2025-09-26,246.38
GOOGL,2025-10-03,245.19
GOOGL,2025-10-10,236.42
GOOGL,2025-10-17,253.13
GOOGL,2025-10-24,259.75
GOOGL,2025-10-31,281.01
GOOGL,2025-11-07,278.65
GOOGL,2025-11-14,276.23
GOOGL,2025-11-21,299.46
GOOGL,2025-11-28,319.97
GOOGL,2025-12-05,321.06
GOOGL,2025-12-12,309.29
GOOGL,2025-12-19,307.16
GOOGL,2025-12-26,313.51
GOOGL,2026-01-02,315.15
GOOGL,2026-01-09,328.57
GOOGL,2026-01-16,330
GOOGL,2026-01-23,327.93
GOOGL,2026-01-29,338.25
HSBA.L,2025-08-01,917.77
HSBA.L,2025-08-08,939.16
HSBA.L,2025-08-15,938.84
HSBA.L,2025-08-22,967.23
HSBA.L,2025-08-29,946.63
HSBA.L,2025-09-05,962.93
HSBA.L,2025-09-12,1006.93
HSBA.L,2025-09-19,1027.73
HSBA.L,2025-09-26,1038.73
HSBA.L,2025-10-03,1061.73
HSBA.L,2025-10-10,993.83
HSBA.L,2025-10-17,964.23
HSBA.L,2025-10-24,1003.93
HSBA.L,2025-10-31,1063.33
HSBA.L,2025-11-07,1070.8
HSBA.L,2025-11-14,1104.4
HSBA.L,2025-11-21,1041.4
HSBA.L,2025-11-28,1070.2
HSBA.L,2025-12-05,1062
HSBA.L,2025-12-12,1111.8
HSBA.L,2025-12-19,1167
HSBA.L,2025-12-24,1175.4
HSBA.L,2026-01-02,1191.8
HSBA.L,2026-01-09,1194.2
HSBA.L,2026-01-16,1232
HSBA.L,2026-01-23,1231
HSBA.L,2026-01-29,1270
JPM,2025-08-01,286.68
JPM,2025-08-08,286.07
JPM,2025-08-15,287.79
JPM,2025-08-22,293.48
JPM,2025-08-29,298.61
JPM,2025-09-05,291.64
JPM,2025-09-12,304.05
JPM,2025-09-19,311.85
JPM,2025-09-26,313.12
JPM,2025-10-03,307.14
JPM,2025-10-10,299.54
JPM,2025-10-17,296.22
JPM,2025-10-24,299.09
JPM,2025-10-31,309.72
JPM,2025-11-07,312.8
JPM,2025-11-14,302.25
JPM,2025-11-21,296.68
JPM,2025-11-28,311.67
JPM,2025-12-05,313.63
JPM,2025-12-12,317.09
JPM,2025-12-19,315.79
JPM,2025-12-26,326.44
JPM,2026-01-02,324.02
JPM,2026-01-09,329.19
JPM,2026-01-16,312.47
JPM,2026-01-23,297.72
JPM,2026-01-29,306.42
META,2025-08-01,748.89
META,2025-08-08,768.15
META,2025-08-15,784.06
META,2025-08-22,753.67
META,2025-08-29,737.6
META,2025-09-05,751.33
META,2025-09-12,754.47
META,2025-09-19,777.22
META,2025-09-26,743.14
META,2025-10-03,709.98
META,2025-10-10,704.73
META,2025-10-17,716.34
META,2025-10-24,737.76
META,2025-10-31,647.82
META,2025-11-07,621.2
META,2025-11-14,608.96
META,2025-11-21,593.77
META,2025-11-28,647.42
META,2025-12-05,672.87
META,2025-12-12,643.71
META,2025-12-19,658.77
META,2025-12-26,663.29
META,2026-01-02,650.41
META,2026-01-09,653.06
META,2026-01-16,620.25
META,2026-01-23,658.76
META,2026-01-29,738.31
MOJAX,2025-08-01,8.95
MOJAX,2025-08-08,9.11
MOJAX,2025-08-15,9.07
MOJAX,2025-08-22,9.04
MOJAX,2025-08-29,9.03
MOJAX,2025-09-05,9.04
MOJAX,2025-09-12,9.28
MOJAX,2025-09-19,9.47
MOJAX,2025-09-26,9.37
MOJAX,2025-10-03,9.46
MOJAX,2025-10-10,9.2
MOJAX,2025-10-17,9.39
MOJAX,2025-10-24,9.71
MOJAX,2025-10-31,9.79
MOJAX,2025-11-07,9.64
MOJAX,2025-11-14,9.51
MOJAX,2025-11-21,9.17
MOJAX,2025-11-28,9.76
MOJAX,2025-12-05,9.86
MOJAX,2025-12-12,9.79
MOJAX,2025-12-19,9.91
MOJAX,2025-12-26,13.79
MOJAX,2026-01-02,13.87
MOJAX,2026-01-09,14.15
MOJAX,2026-01-16,14.56
MOJAX,2026-01-23,14.6
MOJAX,2026-01-29,15.17
MOJOX,2025-08-01,9.27
MOJOX,2025-08-08,9.45
MOJOX,2025-08-15,9.4
MOJOX,2025-08-22,9.38
MOJOX,2025-08-29,9.36
MOJOX,2025-09-05,9.37
MOJOX,2025-09-12,9.63
MOJOX,2025-09-19,9.82
MOJOX,2025-09-26,9.72
MOJOX,2025-10-03,9.81
MOJOX,2025-10-10,9.55
MOJOX,2025-10-17,9.73
MOJOX,2025-10-24,10.07
MOJOX,2025-10-31,10.15
MOJOX,2025-11-07,9.99
MOJOX,2025-11-14,9.86
MOJOX,2025-11-21,9.51
MOJOX,2025-11-28,10.12
MOJOX,2025-12-05,10.22
MOJOX,2025-12-12,10.15
MOJOX,2025-12-19,10.28
MOJOX,2025-12-26,14.17
MOJOX,2026-01-02,14.24
MOJOX,2026-01-09,14.54
MOJOX,2026-01-16,14.96
MOJOX,2026-01-23,15.01
MOJOX,2026-01-29,15.59
MSFT,2025-08-01,522.27
MSFT,2025-08-08,520.21
MSFT,2025-08-15,518.35
MSFT,2025-08-22,506.28
MSFT,2025-08-29,505.74
MSFT,2025-09-05,494.08
MSFT,2025-09-12,508.95
MSFT,2025-09-19,516.96
MSFT,2025-09-26,510.5
MSFT,2025-10-03,516.38
MSFT,2025-10-10,510.01
MSFT,2025-10-17,512.62
MSFT,2025-10-24,522.63
MSFT,2025-10-31,516.84
MSFT,2025-11-07,495.89
MSFT,2025-11-14,509.23
MSFT,2025-11-21,472.12
MSFT,2025-11-28,492.01
MSFT,2025-12-05,483.16
MSFT,2025-12-12,478.53
MSFT,2025-12-19,485.92
MSFT,2025-12-26,487.71
MSFT,2026-01-02,472.94
MSFT,2026-01-09,479.28
MSFT,2026-01-16,459.86
MSFT,2026-01-23,465.95
MSFT,2026-01-29,433.5
NVDA,2025-08-01,173.7
NVDA,2025-08-08,182.68
NVDA,2025-08-15,180.43
NVDA,2025-08-22,177.97
NVDA,2025-08-29,174.16
NVDA,2025-09-05,167
NVDA,2025-09-12,177.81
NVDA,2025-09-19,176.66
NVDA,2025-09-26,178.18
NVDA,2025-10-03,187.61
NVDA,2025-10-10,183.15
NVDA,2025-10-17,183.21
NVDA,2025-10-24,186.25
NVDA,2025-10-31,202.48
NVDA,2025-11-07,188.14
NVDA,2025-11-14,190.16
NVDA,2025-11-21,178.87
NVDA,2025-11-28,176.99
NVDA,2025-12-05,182.41
NVDA,2025-12-12,175.02
NVDA,2025-12-19,180.99
NVDA,2025-12-26,190.53
NVDA,2026-01-02,188.85
NVDA,2026-01-09,184.86
NVDA,2026-01-16,186.23
NVDA,2026-01-23,187.67
